,n,epsilon,dn_epsilon,num_queries,percent_reconstructed,mechanism_error
0,100,0.6,10,100,0.19999999999999996,1.400332324746666
1,100,0.6,10,150,0.19999999999999996,1.400332324746666
2,100,0.6,10,200,0.19999999999999996,1.400332324746666
3,100,0.6,10,250,0.19999999999999996,1.400332324746666
4,100,0.6,10,300,0.19999999999999996,1.400332324746666
5,100,0.6,10,350,0.19999999999999996,1.400332324746666
6,100,0.6,10,400,0.19999999999999996,1.400332324746666
7,100,0.6,10,450,0.19999999999999996,1.400332324746666
8,100,0.8,10,100,0.17000000000000004,1.3207315826008597
9,100,0.8,10,150,0.17000000000000004,1.3207315826008597
10,100,0.8,10,200,0.17000000000000004,1.3207315826008597
11,100,0.8,10,250,0.17000000000000004,1.3207315826008597
12,100,0.8,10,300,0.17000000000000004,1.3207315826008597
13,100,0.8,10,350,0.17000000000000004,1.3207315826008597
14,100,0.8,10,400,0.17000000000000004,1.3207315826008597
15,100,0.8,10,450,0.17000000000000004,1.3207315826008597
16,100,1.0,10,100,0.16000000000000003,0.953265232915403
17,100,1.0,10,150,0.16000000000000003,0.953265232915403
18,100,1.0,10,200,0.16000000000000003,0.953265232915403
19,100,1.0,10,250,0.16000000000000003,0.953265232915403
20,100,1.0,10,300,0.16000000000000003,0.953265232915403
21,100,1.0,10,350,0.16000000000000003,0.953265232915403
22,100,1.0,10,400,0.16000000000000003,0.953265232915403
23,100,1.0,10,450,0.16000000000000003,0.953265232915403
24,100,1.2,10,100,0.10999999999999999,0.8171705392923048
25,100,1.2,10,150,0.10999999999999999,0.8171705392923048
26,100,1.2,10,200,0.10999999999999999,0.8171705392923048
27,100,1.2,10,250,0.10999999999999999,0.8171705392923048
28,100,1.2,10,300,0.10999999999999999,0.8171705392923048
29,100,1.2,10,350,0.10999999999999999,0.8171705392923048
30,100,1.2,10,400,0.10999999999999999,0.8171705392923048
31,100,1.2,10,450,0.10999999999999999,0.8171705392923048
32,100,1.4,10,100,0.17000000000000004,0.6435425928388568
33,100,1.4,10,150,0.17000000000000004,0.6435425928388568
34,100,1.4,10,200,0.17000000000000004,0.6435425928388568
35,100,1.4,10,250,0.17000000000000004,0.6435425928388568
36,100,1.4,10,300,0.17000000000000004,0.6435425928388568
37,100,1.4,10,350,0.17000000000000004,0.6435425928388568
38,100,1.4,10,400,0.17000000000000004,0.6435425928388568
39,100,1.4,10,450,0.17000000000000004,0.6435425928388568
40,100,1.6,10,100,0.10999999999999999,0.5491571492539583
41,100,1.6,10,150,0.10999999999999999,0.5491571492539583
42,100,1.6,10,200,0.10999999999999999,0.5491571492539583
43,100,1.6,10,250,0.10999999999999999,0.5491571492539583
44,100,1.6,10,300,0.10999999999999999,0.5491571492539583
45,100,1.6,10,350,0.10999999999999999,0.5491571492539583
46,100,1.6,10,400,0.10999999999999999,0.5491571492539583
47,100,1.6,10,450,0.10999999999999999,0.5491571492539583
48,100,1.8,10,100,0.16000000000000003,0.5435734587996336
49,100,1.8,10,150,0.16000000000000003,0.5435734587996336
50,100,1.8,10,200,0.16000000000000003,0.5435734587996336
51,100,1.8,10,250,0.16000000000000003,0.5435734587996336
52,100,1.8,10,300,0.16000000000000003,0.5435734587996336
53,100,1.8,10,350,0.16000000000000003,0.5435734587996336
54,100,1.8,10,400,0.16000000000000003,0.5435734587996336
55,100,1.8,10,450,0.16000000000000003,0.5435734587996336
56,100,2.0,10,100,0.19999999999999996,0.4685592021741002
57,100,2.0,10,150,0.19999999999999996,0.4685592021741002
58,100,2.0,10,200,0.19999999999999996,0.4685592021741002
59,100,2.0,10,250,0.19999999999999996,0.4685592021741002
60,100,2.0,10,300,0.19999999999999996,0.4685592021741002
61,100,2.0,10,350,0.19999999999999996,0.4685592021741002
62,100,2.0,10,400,0.19999999999999996,0.4685592021741002
63,100,2.0,10,450,0.19999999999999996,0.4685592021741002
64,100,2.2,10,100,0.16000000000000003,0.46939035315185235
65,100,2.2,10,150,0.16000000000000003,0.46939035315185235
66,100,2.2,10,200,0.16000000000000003,0.46939035315185235
67,100,2.2,10,250,0.16000000000000003,0.46939035315185235
68,100,2.2,10,300,0.16000000000000003,0.46939035315185235
69,100,2.2,10,350,0.16000000000000003,0.46939035315185235
70,100,2.2,10,400,0.16000000000000003,0.46939035315185235
