,n,epsilon,delta,dn_epsilon,num_queries,percent_reconstructed,mechanism_error
0,500,0.30000000000000004,1,10,400,0.764,4.008218669697013
1,500,0.30000000000000004,1,10,450,0.756,4.008218669697013
2,500,0.30000000000000004,1,10,500,0.802,4.008218669697013
3,500,0.30000000000000004,1,10,550,0.8140000000000001,4.008218669697013
4,500,0.30000000000000004,1,10,600,0.8240000000000001,4.008218669697013
5,500,0.30000000000000004,1,10,650,0.8,4.008218669697013
6,500,0.30000000000000004,1,10,700,0.8220000000000001,4.008218669697013
7,500,0.30000000000000004,1,10,750,0.836,4.008218669697013
8,500,0.30000000000000004,1,10,800,0.84,4.008218669697013
9,500,0.30000000000000004,1,10,850,0.876,4.008218669697013
10,500,0.30000000000000004,1,10,900,0.862,4.008218669697013
11,500,0.30000000000000004,1,10,950,0.85,4.008218669697013
12,500,0.4,1,10,400,0.876,2.3001454154962855
13,500,0.4,1,10,450,0.864,2.3001454154962855
14,500,0.4,1,10,500,0.87,2.3001454154962855
15,500,0.4,1,10,550,0.898,2.3001454154962855
16,500,0.4,1,10,600,0.91,2.3001454154962855
17,500,0.4,1,10,650,0.924,2.3001454154962855
18,500,0.4,1,10,700,0.916,2.3001454154962855
19,500,0.4,1,10,750,0.962,2.3001454154962855
20,500,0.4,1,10,800,0.952,2.3001454154962855
21,500,0.4,1,10,850,0.976,2.3001454154962855
22,500,0.4,1,10,900,0.972,2.3001454154962855
23,500,0.4,1,10,950,0.968,2.3001454154962855
24,500,0.5,1,10,400,0.86,1.4745824777089473
25,500,0.5,1,10,450,0.876,1.4745824777089473
26,500,0.5,1,10,500,0.908,1.4745824777089473
27,500,0.5,1,10,550,0.9339999999999999,1.4745824777089473
28,500,0.5,1,10,600,0.956,1.4745824777089473
29,500,0.5,1,10,650,0.98,1.4745824777089473
30,500,0.5,1,10,700,0.978,1.4745824777089473
31,500,0.5,1,10,750,0.98,1.4745824777089473
32,500,0.5,1,10,800,0.996,1.4745824777089473
33,500,0.5,1,10,850,1.0,1.4745824777089473
34,500,0.5,1,10,900,0.992,1.4745824777089473
35,500,0.5,1,10,950,0.998,1.4745824777089473
36,500,0.6000000000000001,1,10,400,0.878,1.0252839346844163
37,500,0.6000000000000001,1,10,450,0.924,1.0252839346844163
38,500,0.6000000000000001,1,10,500,0.918,1.0252839346844163
39,500,0.6000000000000001,1,10,550,0.96,1.0252839346844163
40,500,0.6000000000000001,1,10,600,0.99,1.0252839346844163
41,500,0.6000000000000001,1,10,650,0.99,1.0252839346844163
42,500,0.6000000000000001,1,10,700,0.986,1.0252839346844163
43,500,0.6000000000000001,1,10,750,0.996,1.0252839346844163
44,500,0.6000000000000001,1,10,800,0.998,1.0252839346844163
45,500,0.6000000000000001,1,10,850,1.0,1.0252839346844163
46,500,0.6000000000000001,1,10,900,1.0,1.0252839346844163
47,500,0.6000000000000001,1,10,950,1.0,1.0252839346844163
48,500,0.7000000000000001,1,10,400,0.902,0.7317654065553046
49,500,0.7000000000000001,1,10,450,0.954,0.7317654065553046
50,500,0.7000000000000001,1,10,500,0.972,0.7317654065553046
51,500,0.7000000000000001,1,10,550,0.994,0.7317654065553046
52,500,0.7000000000000001,1,10,600,0.996,0.7317654065553046
53,500,0.7000000000000001,1,10,650,1.0,0.7317654065553046
54,500,0.7000000000000001,1,10,700,1.0,0.7317654065553046
