,n,epsilon,dn_epsilon,num_queries,percent_reconstructed,mechanism_error
0,500,0.3,10,400,0.764,3.2986218788414634
1,500,0.3,10,450,0.77,3.2986218788414634
2,500,0.3,10,500,0.74,3.2986218788414634
3,500,0.3,10,550,0.752,3.2986218788414634
4,500,0.3,10,600,0.752,3.2986218788414634
5,500,0.3,10,650,0.754,3.2986218788414634
6,500,0.3,10,700,0.752,3.2986218788414634
7,500,0.3,10,750,0.726,3.2986218788414634
8,500,0.3,10,800,0.8240000000000001,3.2986218788414634
9,500,0.3,10,850,0.796,3.2986218788414634
10,500,0.3,10,900,0.8160000000000001,3.2986218788414634
11,500,0.3,10,950,0.792,3.2986218788414634
12,500,0.4,10,400,0.782,2.436272033606652
13,500,0.4,10,450,0.77,2.436272033606652
14,500,0.4,10,500,0.84,2.436272033606652
15,500,0.4,10,550,0.846,2.436272033606652
16,500,0.4,10,600,0.846,2.436272033606652
17,500,0.4,10,650,0.8240000000000001,2.436272033606652
18,500,0.4,10,700,0.896,2.436272033606652
19,500,0.4,10,750,0.894,2.436272033606652
20,500,0.4,10,800,0.892,2.436272033606652
21,500,0.4,10,850,0.854,2.436272033606652
22,500,0.4,10,900,0.856,2.436272033606652
23,500,0.4,10,950,0.89,2.436272033606652
24,500,0.5,10,400,0.8160000000000001,2.0261921213975573
25,500,0.5,10,450,0.84,2.0261921213975573
26,500,0.5,10,500,0.852,2.0261921213975573
27,500,0.5,10,550,0.884,2.0261921213975573
28,500,0.5,10,600,0.866,2.0261921213975573
29,500,0.5,10,650,0.902,2.0261921213975573
30,500,0.5,10,700,0.912,2.0261921213975573
31,500,0.5,10,750,0.912,2.0261921213975573
32,500,0.5,10,800,0.948,2.0261921213975573
33,500,0.5,10,850,0.9339999999999999,2.0261921213975573
34,500,0.5,10,900,0.948,2.0261921213975573
35,500,0.5,10,950,0.948,2.0261921213975573
36,500,0.6,10,400,0.864,1.5159142224485123
37,500,0.6,10,450,0.868,1.5159142224485123
38,500,0.6,10,500,0.878,1.5159142224485123
39,500,0.6,10,550,0.88,1.5159142224485123
40,500,0.6,10,600,0.892,1.5159142224485123
41,500,0.6,10,650,0.94,1.5159142224485123
42,500,0.6,10,700,0.956,1.5159142224485123
43,500,0.6,10,750,0.952,1.5159142224485123
44,500,0.6,10,800,0.974,1.5159142224485123
45,500,0.6,10,850,0.948,1.5159142224485123
46,500,0.6,10,900,0.98,1.5159142224485123
47,500,0.6,10,950,0.984,1.5159142224485123
48,500,0.7,10,400,0.868,1.4602168136927447
49,500,0.7,10,450,0.852,1.4602168136927447
50,500,0.7,10,500,0.894,1.4602168136927447
51,500,0.7,10,550,0.918,1.4602168136927447
52,500,0.7,10,600,0.9339999999999999,1.4602168136927447
53,500,0.7,10,650,0.97,1.4602168136927447
54,500,0.7,10,700,0.968,1.4602168136927447
55,500,0.7,10,750,0.974,1.4602168136927447
56,500,0.7,10,800,0.986,1.4602168136927447
57,500,0.7,10,850,0.988,1.4602168136927447
58,500,0.7,10,900,0.984,1.4602168136927447
59,500,0.7,10,950,0.988,1.4602168136927447
60,500,0.8,10,400,0.878,1.2878197236273394
61,500,0.8,10,450,0.904,1.2878197236273394
