,n,epsilon,dn_epsilon,num_queries,percent_reconstructed
0,1000,0.30000000000000004,0.5,400,0.698
1,1000,0.30000000000000004,0.5,450,0.72
2,1000,0.30000000000000004,0.5,500,0.7170000000000001
3,1000,0.30000000000000004,0.5,550,0.73
4,1000,0.30000000000000004,0.5,600,0.755
5,1000,0.30000000000000004,0.5,650,0.72
6,1000,0.4,0.5,400,0.738
7,1000,0.4,0.5,450,0.764
8,1000,0.4,0.5,500,0.753
9,1000,0.4,0.5,550,0.742
10,1000,0.4,0.5,600,0.75
11,1000,0.4,0.5,650,0.76
12,1000,0.5,0.5,400,0.734
13,1000,0.5,0.5,450,0.759
14,1000,0.5,0.5,500,0.778
15,1000,0.5,0.5,550,0.8049999999999999
16,1000,0.5,0.5,600,0.7969999999999999
17,1000,0.5,0.5,650,0.808
18,1000,0.6000000000000001,0.5,400,0.765
19,1000,0.6000000000000001,0.5,450,0.793
20,1000,0.6000000000000001,0.5,500,0.8220000000000001
21,1000,0.6000000000000001,0.5,550,0.8200000000000001
22,1000,0.6000000000000001,0.5,600,0.873
23,1000,0.6000000000000001,0.5,650,0.869
24,1000,0.7000000000000001,0.5,400,0.787
25,1000,0.7000000000000001,0.5,450,0.8069999999999999
26,1000,0.7000000000000001,0.5,500,0.841
27,1000,0.7000000000000001,0.5,550,0.859
28,1000,0.7000000000000001,0.5,600,0.884
29,1000,0.7000000000000001,0.5,650,0.894
30,1000,0.8,0.5,400,0.762
31,1000,0.8,0.5,450,0.8140000000000001
32,1000,0.8,0.5,500,0.84
33,1000,0.8,0.5,550,0.874
34,1000,0.8,0.5,600,0.871
35,1000,0.8,0.5,650,0.896
36,1000,0.9,0.5,400,0.771
37,1000,0.9,0.5,450,0.8260000000000001
38,1000,0.9,0.5,500,0.865
39,1000,0.9,0.5,550,0.861
40,1000,0.9,0.5,600,0.945
41,1000,0.9,0.5,650,0.949
42,1000,1.0,0.5,400,0.788
43,1000,1.0,0.5,450,0.842
44,1000,1.0,0.5,500,0.834
45,1000,1.0,0.5,550,0.887
46,1000,1.0,0.5,600,0.96
47,1000,1.0,0.5,650,0.983
48,1000,1.1,0.5,400,0.788
49,1000,1.1,0.5,450,0.8160000000000001
50,1000,1.1,0.5,500,0.8260000000000001
51,1000,1.1,0.5,550,0.89
52,1000,1.1,0.5,600,0.958
53,1000,1.1,0.5,650,0.968
54,1000,1.2000000000000002,0.5,400,0.776
55,1000,1.2000000000000002,0.5,450,0.812
56,1000,1.2000000000000002,0.5,500,0.877
57,1000,1.2000000000000002,0.5,550,0.913
58,1000,1.2000000000000002,0.5,600,0.9410000000000001
59,1000,1.2000000000000002,0.5,650,0.987
60,1000,1.3,0.5,400,0.7989999999999999
61,1000,1.3,0.5,450,0.842
62,1000,1.3,0.5,500,0.893
63,1000,1.3,0.5,550,0.891
64,1000,1.3,0.5,600,0.985
65,1000,1.3,0.5,650,0.995
66,1000,1.4000000000000001,0.5,400,0.786
67,1000,1.4000000000000001,0.5,450,0.835
68,1000,1.4000000000000001,0.5,500,0.87
69,1000,1.4000000000000001,0.5,550,0.942
70,1000,1.4000000000000001,0.5,600,0.997
71,1000,1.4000000000000001,0.5,650,0.999
72,1000,1.5,0.5,400,0.8029999999999999
73,1000,1.5,0.5,450,0.825
74,1000,1.5,0.5,500,0.869
75,1000,1.5,0.5,550,0.952
76,1000,1.5,0.5,600,0.995
77,1000,1.5,0.5,650,1.0
